,score,word
would definitely stay,0.0037823843851598087,would definitely stay
within walking distance,0.0025383090248990597,within walking distance
would definitely recommend,0.002207918822543452,would definitely recommend
would highly recommend,0.001983468267019153,would highly recommend
great place stay,0.0019793584315299317,great place stay
made feel welcome,0.001576854250516215,made feel welcome
first airbnb experience,0.0012825571176095915,first airbnb experience
pike place market,0.0012410467685752568,pike place market
really enjoyed stay,0.0012386327249832305,really enjoyed stay
highly recommend staying,0.0011851142617288876,highly recommend staying
place stay seattle,0.001020480940513538,place stay seattle
next time seattle,0.0009740708661315433,next time seattle
stay next time,0.0009314511533780684,stay next time
place great location,0.0009299968194813296,place great location
home away home,0.0008647807979962455,home away home
highly recommend place,0.0008641114643576744,highly recommend place
apartment great location,0.00079890273127402,apartment great location
would love stay,0.0007931742179862144,would love stay
definitely recommend staying,0.0007926602995820971,definitely recommend staying
definitely recommend place,0.0007918820025762183,definitely recommend place
sure everything needed,0.0007355079363834151,sure everything needed
recommend place anyone,0.0006935739828921614,recommend place anyone
feel right home,0.000677938966795444,feel right home
host made feel,0.0006774806161649043,host made feel
felt like home,0.0006682919291115937,felt like home
great location great,0.0006547356506648022,great location great
made feel home,0.000641459862068471,made feel home
would recommend place,0.0006325935629086393,would recommend place
would recommend anyone,0.0006289491694268152,would recommend anyone
made sure everything,0.0006244748095437117,made sure everything
first time using,0.0006134372124380041,first time using
great time staying,0.0006125336002425518,great time staying
ha everything need,0.0006052453123415089,ha everything need
great location close,0.000593887475794193,great location close
great place great,0.0005830629848508869,great place great
easy walking distance,0.000582760270476003,easy walking distance
definitely stay next,0.0005697691058483564,definitely stay next
restaurant coffee shop,0.0005646500070908396,restaurant coffee shop
time using airbnb,0.0005637686347748539,time using airbnb
definitely come back,0.0005615551736902884,definitely come back
room clean comfortable,0.0005514806084933587,room clean comfortable
place clean comfortable,0.0005512840334284194,place clean comfortable
come back seattle,0.0005279234496492036,come back seattle
first experience airbnb,0.0005271322111136679,first experience airbnb
apartment clean comfortable,0.0005255523068787246,apartment clean comfortable
great location easy,0.000522636350938457,great location easy
made feel right,0.0005155030385486727,made feel right
feel like home,0.0005143548269317431,feel like home
location walking distance,0.0005139734633465129,location walking distance
anyone visiting seattle,0.0005079005686178336,anyone visiting seattle
