,Rating
0,4.47525
1,4.96875
2,4.6795
3,4.578250000000001
4,4.94575
5,4.837249999999999
6,4.85525
7,4.91775
8,3.8905000000000003
9,4.86875
10,4.87575
11,4.316
12,4.9195
13,4.45475
14,4.79575
15,4.951
16,4.8385
17,4.83925
18,4.875249999999999
19,4.8245
20,4.9552499999999995
21,4.924
22,4.9675
23,4.4125000000000005
24,4.95
25,4.88775
26,4.9595
27,4.981
28,4.88875
29,4.9165
30,4.978
31,4.90675
32,4.76975
33,4.5965
34,4.952
35,4.926
36,4.991250000000001
37,4.93275
38,4.9399999999999995
39,4.8395
40,4.952999999999999
41,4.968
42,4.94025
43,4.93925
44,4.95125
45,4.87225
46,4.95375
47,4.94925
48,4.952999999999999
49,4.9345
50,4.55625
51,4.93575
52,4.9615
53,4.93125
54,4.978
55,4.965
56,4.7017500000000005
57,4.9915
58,4.80375
59,4.94125
60,4.879
61,4.97
62,4.91925
63,4.99025
64,4.9485
65,4.92525
66,4.9030000000000005
67,4.844
68,4.82475
69,4.94825
70,4.933
71,4.89825
72,4.9445
73,4.055999999999999
74,3.366
75,4.8455
76,4.80725
77,4.86425
78,4.82175
79,4.74175
80,4.8415
81,2.5
82,4.933
83,4.942
84,4.9295
85,4.79225
86,4.911
87,4.491
88,4.850250000000001
89,4.62025
90,4.83325
91,4.953250000000001
92,4.97925
93,4.68425
94,4.6855
95,4.391
96,4.8845
97,4.905749999999999
98,4.82175
99,4.293
100,4.821
101,4.4125000000000005
102,4.99575
103,4.78475
104,4.920999999999999
105,4.9857499999999995
106,4.82775
107,4.89725
108,4.9135
109,4.9117500000000005
110,4.5184999999999995
111,4.91525
112,4.8709999999999996
113,4.98675
114,4.55525
115,4.976500000000001
116,4.9745
117,4.9475
118,4.98975
119,4.96
120,4.956
121,4.9552499999999995
122,4.9472499999999995
123,4.947749999999999
124,4.87125
125,4.95
126,4.8855
127,4.8855
128,4.97125
129,4.82825
130,4.8870000000000005
131,4.956
132,4.9595
133,4.82325
134,4.89575
135,4.875
136,4.37375
137,4.93875
138,4.678750000000001
139,4.96025
140,4.97975
141,4.97325
142,4.8945
143,4.96
144,4.749499999999999
145,4.93725
146,4.994
147,4.944
148,4.9517500000000005
149,4.9567499999999995
150,4.8555
151,4.81025
152,4.54975
153,4.97025
154,4.8735
155,4.9805
156,4.984
157,4.94525
158,4.68
159,4.953250000000001
160,4.79725
161,4.88275
162,4.8635
163,4.959
164,4.8805
165,4.69125
166,4.9785
167,4.64325
168,4.6297500000000005
169,4.9190000000000005
170,4.1195
171,4.96575
172,4.792
173,4.89325
174,4.938000000000001
175,4.60975
176,4.6465
177,4.90275
178,3.35
179,4.53675
180,4.98325
181,4.94625
182,4.95875
183,4.5195
184,4.9945
185,4.38525
186,4.3765
187,1.5460000000000003
188,4.8365
189,4.8395
190,4.9905
191,4.834
192,4.98125
193,4.947
194,4.6
195,4.521
196,4.69125
197,4.3555
198,4.96525
199,4.06225
200,4.75425
201,4.923
202,4.8335
203,4.936249999999999
204,4.9235
205,4.8485
206,4.98075
207,4.8614999999999995
208,4.8004999999999995
209,4.897
210,4.96925
211,4.37525
212,4.911250000000001
213,4.84975
214,4.987
215,4.815
216,4.9215
217,4.81475
218,4.86675
219,4.7620000000000005
220,4.916
221,4.89725
222,4.7525
223,4.9485
224,4.80325
225,4.44575
226,4.25075
227,4.9624999999999995
228,4.567
229,4.79625
230,4.9845
231,4.983750000000001
232,4.98675
233,4.74925
234,4.91475
235,4.981999999999999
236,4.614000000000001
237,4.853
238,4.1995
239,4.8375
240,4.0192499999999995
241,4.936
242,3.5047499999999996
243,4.98175
244,4.93025
245,4.92625
246,4.952
247,4.70125
248,3.96225
249,4.4125000000000005
250,4.879
251,4.76025
252,4.90625
253,4.97375
254,4.991250000000001
255,4.8477500000000004
256,4.9945
257,4.64775
258,4.968249999999999
259,4.904
260,4.75775
261,4.63875
262,4.796
263,4.9335
264,4.907500000000001
265,4.912
266,4.8815
267,4.9845
268,4.491
269,4.84325
270,4.86825
271,4.95075
272,4.97925
273,4.9535
274,4.91075
275,4.98625
276,4.755000000000001
277,4.274
278,4.9055
279,4.83625
280,4.88275
281,4.94425
282,4.01375
283,4.7275
284,4.91525
285,4.96175
286,4.9645
287,4.828
288,2.5
289,4.80375
290,4.8735
291,4.749750000000001
292,4.76525
293,4.886
294,4.8575
295,4.46125
296,4.715
297,4.5315
298,4.8055
299,4.890499999999999
300,4.81825
301,4.9670000000000005
302,3.9907500000000002
303,4.97475
304,4.95575
305,4.875
306,4.9822500000000005
307,4.97975
308,4.90775
309,4.9435
310,4.946000000000001
311,4.74625
312,4.907
313,4.77225
314,4.770250000000001
315,4.61875
316,4.6987499999999995
317,4.8915
318,4.966749999999999
319,4.959
320,4.936
321,4.9755
322,4.972250000000001
323,4.891
324,4.918
325,4.91875
326,4.958
327,4.949
328,4.96525
329,4.579
330,4.93925
331,4.91225
332,4.788
333,4.8855
334,4.894
335,4.782
336,4.9555
337,4.979
338,4.90025
339,4.76875
340,4.77475
341,4.95975
342,4.9615
343,4.90925
344,4.9425
345,4.93875
346,4.88725
347,4.991750000000001
348,4.96425
349,4.84
350,4.87425
351,4.920999999999999
352,4.850750000000001
353,4.600499999999999
354,4.94625
355,4.939
356,4.94475
357,4.9375
358,4.9505
359,4.9072499999999994
360,4.9455
361,4.948
362,4.983
363,4.97675
364,4.985
365,3.6335
366,4.954
367,4.93525
368,4.98
369,4.958
370,4.94525
371,4.96475
372,4.889
373,2.5045
374,4.978
375,4.9575000000000005
376,4.83875
377,4.94875
378,4.687
379,4.959
380,4.71825
381,4.9205
382,4.5295
383,4.978249999999999
384,4.8345
385,4.9535
386,4.83875
387,4.9270000000000005
388,4.91975
389,4.853
390,4.8935
391,4.94275
392,4.15975
393,4.9037500000000005
394,4.90125
395,4.8305
396,4.46125
397,4.88425
398,4.888
399,4.91475
400,4.679
401,4.9785
402,4.994
403,4.8260000000000005
404,4.9615
405,4.9385
406,4.92825
407,4.91075
408,4.6795
409,4.99475
410,4.7835
411,4.6525
412,4.907500000000001
413,4.792
414,4.983750000000001
415,4.7379999999999995
416,4.9182500000000005
417,4.8855
418,2.5
419,2.5
420,2.5
421,4.71225
422,4.83625
423,4.8345
424,4.92975
425,4.9565
426,4.91075
427,4.912999999999999
428,4.8595
429,4.89575
430,4.9495000000000005
431,4.928
432,4.7655
433,4.79
434,4.803
435,4.5535000000000005
436,4.8955
437,4.2625
438,4.97475
439,4.818
440,4.83425
441,4.9425
442,4.5775
443,4.86775
444,4.8015
445,4.600499999999999
446,4.850750000000001
447,4.850750000000001
448,4.8427500000000006
449,4.95125
450,4.968249999999999
451,4.951
452,4.9465
453,4.8565000000000005
454,4.94625
455,4.9105
456,4.9472499999999995
457,4.9245
458,4.97875
459,4.96075
460,4.936
461,4.81475
462,4.874
463,4.853
464,3.68825
465,3.68825
466,4.5775
467,4.96925
468,4.953250000000001
469,4.99675
470,4.926
471,4.264
472,4.949
473,4.33475
474,4.973
475,4.951499999999999
476,4.978249999999999
477,4.94025
